symbol	lin-wt	sun-wt	sun-wt	fish-wt	ref-wt	coc-wt	lin-wt	lin-wt	fish-wt	coc-wt	fish-wt	ref-wt	sun-wt	ref-wt	sun-wt	lin-wt	coc-wt	fish-wt	coc-wt	ref-ppar	coc-ppar	ref-ppar	sun-ppar	fish-ppar	sun-ppar	ref-ppar	ref-ppar	lin-ppar	fish-ppar	lin-ppar	coc-ppar	coc-ppar	ref-ppar	sun-ppar	fish-ppar	coc-ppar	lin-ppar	fish-ppar	lin-ppar	sun-ppar
LPIN1	-0.69	-0.60	-0.70	-0.67	-0.68	-0.55	-0.67	-0.66	-0.60	-0.58	-0.58	-0.90	-0.67	-0.77	-0.66	-0.71	-0.63	-0.53	-0.53	-0.51	-0.70	-0.79	-0.89	-0.76	-0.77	-0.72	-0.71	-0.72	-0.70	-0.80	-0.71	-0.62	-0.76	-0.74	-0.77	-0.53	-0.76	-0.75	-0.82	-0.73
LPIN2	-1.18	-1.07	-1.17	-1.12	-0.93	-1.08	-1.03	-1.01	-1.01	-1.10	-1.05	-1.15	-1.07	-1.11	-1.01	-1.08	-1.18	-1.07	-0.99	-1.07	-1.08	-1.12	-1.06	-1.14	-1.08	-0.95	-1.03	-0.97	-1.17	-1.22	-1.06	-0.93	-1.04	-1.04	-1.08	-0.91	-1.03	-1.00	-0.95	-1.01
LPIN3	1.66	1.65	1.57	1.61	1.66	1.70	1.58	1.62	1.72	1.55	1.69	1.57	1.60	1.59	1.61	1.60	1.60	1.78	1.67	1.60	1.65	1.55	1.55	1.65	1.57	1.74	1.61	1.64	1.60	1.62	1.57	1.72	1.60	1.60	1.59	1.65	1.62	1.64	1.72	1.55
LPL	-0.92	-0.87	-1.02	-0.89	-0.93	-0.97	-0.97	-0.96	-0.85	-0.95	-0.84	-0.94	-1.03	-0.98	-0.83	-0.92	-1.04	-0.98	-0.90	-0.94	-1.02	-1.10	-1.09	-1.08	-1.12	-0.86	-1.01	-0.97	-1.26	-1.06	-1.02	-1.00	-0.97	-1.05	-1.04	-0.95	-0.99	-1.00	-1.00	-1.06
MTHFR	-0.97	-0.92	-0.98	-0.97	-1.06	-1.03	-0.91	-1.11	-0.85	-0.99	-0.92	-1.02	-0.99	-1.19	-0.93	-0.99	-1.15	-0.95	-1.02	-1.01	-0.91	-0.90	-0.88	-0.90	-0.87	-0.73	-0.83	-0.85	-0.85	-0.74	-0.84	-0.70	-0.83	-0.84	-0.90	-0.88	-0.73	-0.98	-0.63	-0.79
PDK4	-0.26	-0.36	-0.40	-0.39	-0.35	-0.31	-0.32	-0.40	-0.26	-0.39	-0.29	-0.39	-0.37	-0.43	-0.34	-0.41	-0.42	-0.32	-0.33	-0.31	-0.41	-0.50	-0.55	-0.37	-0.48	-0.33	-0.40	-0.39	-0.43	-0.56	-0.49	-0.50	-0.46	-0.44	-0.47	-0.33	-0.47	-0.40	-0.55	-0.40
PEX11A	-1.21	-1.17	-1.29	-1.18	-1.15	-1.14	-1.16	-1.26	-1.12	-1.08	-1.15	-1.24	-1.33	-1.32	-1.17	-1.19	-1.27	-1.14	-1.12	-1.27	-1.24	-1.25	-1.20	-1.20	-1.29	-1.09	-1.21	-1.08	-1.23	-1.17	-1.23	-1.09	-1.18	-1.17	-1.16	-1.07	-1.13	-1.14	-1.10	-1.17
PLTP	-1.11	-1.06	-1.17	-1.03	-0.99	-1.03	-1.15	-1.18	-0.94	-1.07	-0.94	-1.02	-1.09	-1.12	-1.07	-1.18	-1.00	-0.96	-0.95	-1.01	-1.05	-1.01	-1.16	-1.08	-1.16	-0.88	-1.02	-1.04	-1.10	-1.08	-1.06	-0.92	-1.07	-1.11	-1.03	-0.96	-1.09	-1.01	-1.02	-1.07
PPARA	-1.18	-1.06	-1.14	-1.13	-1.10	-1.16	-1.06	-1.24	-1.23	-1.09	-1.16	-1.22	-1.04	-1.23	-1.04	-1.12	-1.21	-1.15	-1.10	-1.13	-1.16	-1.28	-1.21	-1.18	-1.14	-1.07	-1.10	-1.10	-1.16	-1.09	-1.14	-1.13	-1.11	-1.07	-1.22	-1.04	-1.11	-1.18	-1.04	-1.08
PPARD	-0.87	-0.87	-0.95	-0.88	-0.91	-0.92	-0.86	-0.93	-0.82	-0.88	-0.86	-0.98	-0.94	-0.94	-0.84	-0.96	-0.98	-0.83	-0.84	-0.88	-1.01	-1.05	-1.13	-1.15	-1.12	-0.91	-0.99	-0.95	-1.20	-0.97	-1.04	-0.91	-0.99	-1.01	-1.03	-0.92	-0.93	-1.01	-0.98	-1.02
PPARG	-1.37	-1.14	-1.30	-1.27	-1.20	-1.11	-1.12	-1.30	-1.14	-1.08	-1.27	-1.28	-1.19	-1.33	-1.11	-1.26	-1.32	-1.15	-1.12	-1.21	-1.17	-1.25	-1.26	-1.21	-1.27	-1.07	-1.15	-1.14	-1.23	-1.16	-1.22	-1.20	-1.17	-1.14	-1.22	-1.05	-1.09	-1.17	-1.13	-1.13
RARA	-1.21	-1.12	-1.22	-1.18	-1.16	-1.10	-1.07	-1.23	-1.10	-1.10	-1.15	-1.24	-1.10	-1.32	-1.02	-1.12	-1.30	-1.04	-1.11	-1.16	-1.23	-1.28	-1.26	-1.17	-1.27	-0.96	-1.14	-1.11	-1.24	-1.15	-1.26	-1.10	-1.15	-1.15	-1.18	-1.01	-1.07	-1.18	-1.14	-1.14
RXRA	-0.71	-0.62	-0.78	-0.71	-0.69	-0.60	-0.69	-0.81	-0.62	-0.62	-0.69	-0.72	-0.70	-0.76	-0.67	-0.76	-0.75	-0.61	-0.59	-0.63	-0.74	-0.83	-0.86	-0.82	-0.88	-0.67	-0.69	-0.77	-0.76	-0.69	-0.77	-0.64	-0.82	-0.76	-0.82	-0.62	-0.82	-0.80	-0.84	-0.76
UCP2	-1.31	-1.14	-1.29	-1.27	-1.20	-1.15	-1.17	-1.28	-1.13	-1.15	-1.24	-1.26	-1.22	-1.33	-1.15	-1.23	-1.35	-1.12	-1.23	-1.23	-1.18	-1.29	-1.29	-1.18	-1.31	-0.99	-1.16	-1.14	-1.23	-1.17	-1.23	-1.14	-1.14	-1.16	-1.17	-1.04	-1.17	-1.21	-1.18	-1.17
UCP3	-1.23	-1.20	-1.32	-1.23	-1.22	-1.10	-1.07	-1.26	-1.19	-1.10	-1.19	-1.24	-1.22	-1.26	-1.17	-1.20	-1.28	-1.09	-1.15	-1.25	-1.26	-1.19	-1.27	-1.16	-1.22	-1.04	-1.21	-1.20	-1.25	-1.20	-1.20	-1.06	-1.21	-1.19	-1.15	-1.05	-1.08	-1.20	-1.09	-1.19
VDR	-1.19	-1.06	-1.25	-1.13	-1.10	-1.07	-1.20	-1.37	-1.15	-1.11	-1.15	-1.24	-1.15	-1.24	-1.06	-1.18	-1.30	-1.12	-1.10	-1.14	-1.18	-1.17	-1.22	-1.14	-1.24	-0.96	-1.09	-1.14	-1.24	-1.06	-1.15	-1.06	-1.13	-1.20	-1.14	-1.00	-1.08	-1.14	-1.10	-1.08
VLDLR	-0.06	-0.20	-0.30	-0.07	-0.29	-0.28	-0.10	-0.10	 0.18	-0.33	-0.03	-0.40	-0.27	-0.44	-0.19	-0.04	-0.31	 0.15	-0.30	-0.28	-0.01	-0.13	-0.39	 0.03	-0.31	 0.10	-0.16	-0.22	 0.08	-0.13	-0.03	 0.04	-0.19	-0.18	 0.12	-0.15	-0.08	-0.03	-0.52	-0.07
DBI	-0.81	-0.88	-0.71	-0.65	-1.16	-0.99	-0.62	-0.82	-0.48	-0.79	-0.51	-1.00	-0.88	-1.05	-0.72	-0.67	-1.19	-0.56	-1.03	-1.01	-1.21	-1.15	-1.22	-1.15	-1.16	-0.93	-1.13	-1.09	-1.33	-1.18	-1.18	-0.96	-1.07	-1.12	-1.22	-1.05	-1.07	-1.23	-1.08	-1.13
ACACA	-0.81	-0.84	-0.98	-0.41	-1.16	-1.09	-0.76	-0.87	-0.37	-0.95	-0.15	-1.13	-0.99	-1.15	-0.73	-0.85	-1.22	-0.73	-1.10	-1.06	-1.17	-1.29	-1.25	-1.19	-1.18	-0.90	-1.10	-1.08	-1.22	-1.08	-1.14	-1.05	-1.03	-1.11	-1.15	-0.96	-1.03	-1.18	-1.12	-1.14
ACACB	-0.77	-0.71	-0.93	-0.80	-0.71	-0.74	-0.76	-0.88	-0.77	-0.77	-0.80	-0.77	-0.77	-0.74	-0.75	-0.83	-0.82	-0.73	-0.71	-0.82	-0.77	-0.86	-0.71	-0.80	-0.87	-0.61	-0.76	-0.74	-0.81	-0.75	-0.78	-0.72	-0.75	-0.79	-0.77	-0.72	-0.78	-0.76	-0.74	-0.71
SSX2IP	-0.41	-0.37	-0.30	-0.59	-0.06	 0.18	-0.16	 0.04	-0.53	 0.08	-0.53	-0.39	 0.06	-0.64	-0.28	-0.29	-0.04	-0.21	-0.15	-0.37	-0.66	-0.51	-1.05	-0.23	-0.96	-0.06	-0.79	-0.85	-0.71	-0.85	-0.70	-0.52	-0.45	-0.70	-0.86	-0.63	-0.58	-0.58	-0.95	-0.47
ADSSL1	-1.03	-0.98	-1.03	-1.06	-0.99	-0.99	-0.89	-1.08	-1.04	-0.91	-1.03	-1.09	-0.99	-1.08	-0.95	-1.07	-1.03	-1.03	-1.00	-1.06	-0.94	-1.02	-1.09	-1.09	-0.98	-0.85	-0.93	-1.00	-1.02	-0.91	-0.97	-0.75	-0.96	-1.04	-0.97	-0.90	-0.93	-1.05	-0.99	-0.92
ALDH3A1	-0.98	-0.92	-1.04	-1.00	-0.99	-1.00	-1.02	-0.97	-1.03	-0.95	-1.02	-0.97	-0.92	-1.00	-0.84	-0.99	-0.92	-1.02	-0.81	-1.02	-0.99	-1.17	-1.01	-1.09	-1.03	-0.88	-0.95	-0.92	-1.07	-0.97	-1.00	-0.94	-0.97	-1.02	-1.11	-0.93	-0.97	-0.88	-0.90	-1.02
ACOX1	-1.22	-1.09	-1.28	-1.19	-1.16	-0.96	-1.15	-1.26	-1.13	-1.03	-1.20	-1.30	-1.12	-1.25	-1.14	-1.21	-1.10	-1.12	-1.04	-1.12	-1.26	-1.19	-1.22	-1.24	-1.13	-1.03	-1.15	-1.09	-1.21	-1.19	-1.18	-1.14	-1.13	-1.16	-1.19	-1.03	-1.10	-1.11	-1.07	-1.16
PSMB10	-0.46	-0.63	-1.06	-0.71	-0.58	-0.49	-0.51	-0.61	-0.38	-0.60	-0.45	-0.56	-0.91	-0.73	-0.98	-0.49	-0.82	-0.38	-0.47	-0.64	-0.88	-0.59	-1.06	-0.82	-1.03	-0.75	-0.69	-0.52	-0.51	-0.64	-0.75	-0.94	-0.97	-0.78	-0.54	-0.76	-0.69	-0.78	-0.97	-0.80
ABCB11	-1.24	-1.22	-1.36	-1.21	-1.22	-1.16	-1.15	-1.31	-1.16	-1.19	-1.23	-1.27	-1.23	-1.32	-1.18	-1.33	-1.38	-1.24	-1.16	-1.25	-1.24	-1.35	-1.33	-1.33	-1.28	-1.13	-1.12	-1.13	-1.32	-1.12	-1.30	-1.17	-1.19	-1.19	-1.21	-1.16	-1.15	-1.34	-1.17	-1.26
BCL3	 0.00	-0.05	-0.13	-0.09	-0.02	-0.11	-0.06	-0.04	 0.03	-0.02	-0.08	-0.12	-0.12	-0.06	-0.10	-0.01	 0.04	 0.02	-0.02	-0.01	-0.09	-0.17	-0.43	-0.06	-0.25	-0.06	-0.27	-0.18	-0.10	-0.08	-0.16	 0.00	-0.15	-0.14	-0.22	-0.07	-0.15	-0.23	-0.17	-0.19
PRG4	0.45	0.30	0.18	0.36	0.30	0.17	0.12	0.48	0.53	0.01	0.37	0.21	0.09	0.39	0.21	0.33	0.20	0.55	0.18	0.36	0.09	0.29	0.15	0.35	0.24	0.16	0.23	0.34	0.12	0.17	0.06	0.07	0.15	0.10	0.29	0.02	0.00	0.23	0.04	0.30
CAR1	-0.95	-0.86	-0.96	-1.02	-0.70	-0.76	-1.00	-0.88	-0.96	-0.70	-0.97	-0.91	-0.82	-0.95	-0.83	-0.95	-0.71	-0.89	-0.71	-0.90	-0.97	-1.07	-1.00	-0.99	-1.04	-0.84	-0.98	-0.90	-1.07	-0.95	-0.97	-0.84	-0.89	-0.97	-1.02	-0.92	-0.92	-0.93	-0.91	-0.93
COX1	-0.65	-0.69	-0.75	-0.61	-0.66	-0.56	-0.61	-0.71	-0.53	-0.60	-0.57	-0.67	-0.73	-0.74	-0.66	-0.55	-0.54	-0.59	-0.55	-0.60	-0.69	-0.78	-0.97	-0.73	-0.91	-0.70	-0.70	-0.67	-0.83	-0.75	-0.64	-0.75	-0.79	-0.87	-0.78	-0.57	-0.81	-0.72	-0.69	-0.83
COX2	-0.94	-0.94	-1.16	-0.97	-0.93	-0.96	-0.96	-0.85	-0.84	-0.95	-0.94	-0.98	-1.05	-1.01	-0.92	-0.89	-1.02	-0.92	-0.90	-0.96	-1.01	-0.88	-1.06	-1.02	-0.89	-0.82	-0.91	-0.88	-0.97	-0.88	-1.00	-0.94	-0.94	-0.95	-1.00	-0.87	-1.03	-1.01	-0.85	-1.02
CYP24A1	 0.24	 0.27	 0.17	 0.16	 0.00	 0.23	 0.18	 0.18	 0.20	 0.20	 0.28	 0.14	 0.14	-0.02	 0.19	 0.13	 0.12	 0.25	 0.23	 0.16	-0.04	-0.19	-0.44	-0.30	-0.01	 0.08	-0.09	-0.07	-0.15	-0.20	-0.09	 0.20	 0.04	-0.14	-0.05	 0.03	-0.06	-0.16	-0.46	 0.01
CYP26A1	 0.09	 0.06	-0.05	 0.01	-0.07	-0.10	-0.03	-0.08	 0.12	-0.10	-0.19	-0.10	-0.01	-0.10	 0.03	-0.02	-0.09	-0.01	-0.02	 0.00	-0.07	-0.26	-0.21	-0.07	-0.08	 0.00	-0.06	-0.10	-0.06	-0.03	-0.13	 0.03	-0.12	 0.04	-0.11	 0.00	 0.00	-0.16	-0.08	 0.02
CYP2B10	-0.82	-0.68	-0.82	-0.94	-0.73	-0.74	-0.80	-0.83	-0.81	-0.72	-0.85	-0.84	-0.74	-0.85	-0.70	-0.85	-0.80	-0.88	-0.69	-0.83	-0.86	-0.96	-0.90	-0.79	-0.96	-0.74	-0.82	-0.85	-0.93	-0.89	-0.89	-0.72	-0.78	-0.81	-0.94	-0.77	-0.82	-0.84	-0.83	-0.76
CYP2B13	-0.32	-0.39	-0.38	-0.38	-0.17	-0.14	-0.35	-0.13	-0.32	-0.24	-0.35	-0.36	-0.26	-0.55	-0.38	-0.37	-0.20	-0.28	-0.28	-0.35	-0.35	-0.44	-0.57	-0.44	-0.42	-0.19	-0.41	-0.35	-0.46	-0.36	-0.32	-0.30	-0.36	-0.34	-0.43	-0.35	-0.38	-0.41	-0.48	-0.20
CYP2C29	-1.01	-0.97	-1.11	-0.99	-1.05	-0.99	-0.93	-1.07	-0.94	-0.95	-0.99	-1.08	-0.98	-1.07	-0.95	-0.99	-1.09	-0.93	-0.91	-1.01	-0.99	-1.04	-1.03	-1.07	-1.04	-0.90	-0.96	-0.92	-1.03	-0.98	-1.01	-0.86	-0.99	-1.03	-0.99	-0.90	-1.00	-0.96	-0.94	-0.98
CYP3A11	-0.82	-0.82	-0.91	-0.85	-0.83	-0.79	-0.77	-0.84	-0.75	-0.78	-0.81	-0.87	-0.84	-0.90	-0.78	-0.84	-0.83	-0.74	-0.74	-0.82	-0.83	-0.91	-0.85	-0.81	-0.81	-0.65	-0.80	-0.77	-0.90	-0.81	-0.82	-0.74	-0.77	-0.83	-0.87	-0.76	-0.81	-0.86	-0.74	-0.79
CYP4A10	-1.00	-0.95	-1.16	-1.01	-1.01	-0.99	-0.98	-1.04	-0.98	-0.99	-0.96	-1.06	-1.03	-1.09	-0.95	-1.01	-1.08	-0.93	-0.95	-1.00	-1.02	-1.06	-1.06	-1.07	-0.98	-0.84	-0.98	-0.98	-1.02	-1.04	-0.99	-0.93	-0.96	-0.97	-1.01	-0.91	-0.99	-0.99	-0.89	-0.98
CYP4A14	-0.87	-0.97	-0.95	-1.00	-0.57	-0.51	-0.81	-0.83	-0.83	-0.48	-0.93	-0.85	-0.84	-0.68	-0.83	-0.73	-0.54	-0.69	-0.49	-0.82	-0.79	-0.56	-1.12	-0.64	-1.13	-0.69	-0.77	-0.71	-0.62	-0.58	-0.98	-0.56	-0.69	-1.01	-0.54	-0.66	-0.65	-0.60	-0.72	-0.89
CYP7A1	-0.85	-0.99	-0.94	-1.02	-0.53	-0.51	-0.81	-0.87	-0.82	-0.49	-0.92	-0.78	-0.84	-0.64	-0.87	-0.78	-0.60	-0.68	-0.62	-0.77	-0.80	-0.56	-1.10	-0.70	-1.09	-0.66	-0.79	-0.72	-0.74	-0.64	-0.98	-0.58	-0.75	-1.03	-0.53	-0.65	-0.64	-0.65	-0.73	-0.92
FAT1	-0.85	-0.87	-0.90	-0.88	-0.72	-0.68	-0.80	-0.90	-0.68	-0.67	-0.71	-0.84	-0.87	-0.86	-0.85	-0.81	-0.74	-0.81	-0.73	-0.78	-0.89	-0.88	-1.05	-0.91	-1.14	-0.83	-0.91	-0.93	-0.97	-0.78	-0.96	-0.70	-0.92	-1.03	-0.94	-0.80	-0.76	-0.90	-0.74	-0.97
NR1H4	-1.15	-1.06	-1.26	-1.10	-1.11	-1.14	-1.08	-1.19	-1.06	-1.09	-1.09	-1.15	-1.11	-1.23	-0.99	-1.18	-1.29	-1.09	-1.16	-1.10	-1.13	-1.26	-1.21	-1.19	-1.19	-0.96	-1.09	-1.07	-1.19	-1.13	-1.09	-1.10	-1.04	-1.15	-1.12	-1.05	-1.06	-1.13	-1.12	-1.12
H6PD 	-0.60	-0.62	-0.70	-0.59	-0.69	-0.66	-0.53	-0.66	-0.45	-0.62	-0.54	-0.69	-0.69	-0.69	-0.61	-0.64	-0.73	-0.57	-0.63	-0.69	-0.63	-0.67	-0.70	-0.61	-0.63	-0.42	-0.62	-0.60	-0.66	-0.53	-0.56	-0.45	-0.54	-0.57	-0.59	-0.48	-0.55	-0.65	-0.51	-0.63
G6PC	-1.15	-1.10	-1.26	-1.13	-1.11	-1.09	-1.09	-1.19	-1.06	-1.10	-1.11	-1.19	-1.14	-1.27	-1.07	-1.27	-1.30	-1.08	-1.08	-1.12	-1.12	-1.17	-1.24	-1.16	-1.22	-1.01	-1.16	-1.09	-1.13	-1.18	-1.16	-1.03	-1.12	-1.14	-1.11	-0.99	-1.12	-1.14	-1.06	-1.11
GLUL	-0.77	-0.65	-0.86	-0.77	-0.70	-0.69	-0.81	-0.81	-0.69	-0.75	-0.77	-0.79	-0.78	-0.78	-0.71	-0.84	-0.78	-0.67	-0.65	-0.72	-0.76	-0.92	-0.92	-0.86	-0.90	-0.78	-0.80	-0.81	-0.88	-0.77	-0.83	-0.65	-0.81	-0.82	-0.82	-0.68	-0.83	-0.83	-0.66	-0.83
GSTA	-0.99	-0.85	-0.90	-0.95	-0.91	-0.84	-0.88	-1.02	-0.83	-0.86	-0.89	-1.00	-0.86	-1.08	-0.87	-0.96	-0.99	-0.83	-1.01	-0.95	-0.94	-1.02	-1.09	-0.98	-1.02	-0.84	-0.92	-1.00	-1.05	-1.00	-1.01	-0.85	-0.96	-1.04	-1.00	-0.83	-0.93	-1.00	-1.04	-0.92
GSTM1	-1.11	-1.06	-1.20	-1.09	-1.09	-1.09	-0.99	-1.16	-1.06	-0.98	-1.11	-1.15	-1.02	-1.15	-1.00	-1.11	-1.15	-0.99	-1.01	-1.07	-1.06	-1.11	-1.08	-1.13	-1.13	-0.88	-1.05	-1.03	-1.10	-1.00	-1.07	-1.00	-1.08	-1.03	-1.05	-0.93	-0.97	-1.11	-1.00	-1.03
GSTP2	-0.96	-0.99	-1.10	-0.95	-0.93	-0.96	-0.88	-1.03	-1.01	-0.95	-0.93	-1.01	-0.99	-1.03	-0.92	-0.97	-1.04	-0.98	-0.90	-0.98	-0.96	-1.05	-0.99	-1.08	-1.00	-0.92	-0.90	-0.89	-1.01	-0.97	-0.97	-0.95	-0.99	-0.96	-1.05	-0.89	-0.97	-0.93	-0.91	-0.98
HMGCR	-1.21	-1.08	-1.24	-1.12	-1.11	-1.04	-1.02	-1.21	-1.11	-1.04	-1.20	-1.17	-1.11	-1.24	-1.04	-1.18	-1.29	-1.07	-1.10	-1.11	-1.16	-1.23	-1.20	-1.17	-1.22	-0.91	-1.10	-1.12	-1.23	-1.19	-1.18	-1.00	-1.21	-1.15	-1.13	-0.98	-1.02	-1.12	-1.09	-1.07
Il2	-0.49	-0.45	-0.44	-0.54	-0.47	-0.46	-0.55	-0.50	-0.44	-0.43	-0.55	-0.48	-0.37	-0.65	-0.39	-0.55	-0.41	-0.48	-0.44	-0.55	-0.41	-0.55	-0.55	-0.42	-0.41	-0.25	-0.43	-0.43	-0.46	-0.35	-0.33	-0.26	-0.36	-0.35	-0.44	-0.30	-0.35	-0.63	-0.25	-0.31
FABP1	-1.15	-1.15	-1.20	-1.17	-1.19	-1.11	-1.08	-1.21	-1.05	-1.08	-1.14	-1.14	-1.17	-1.21	-1.15	-1.18	-1.28	-1.05	-1.06	-1.21	-1.21	-1.20	-1.15	-1.12	-1.23	-1.05	-1.17	-1.08	-1.19	-1.17	-1.19	-1.05	-1.11	-1.15	-1.11	-1.06	-1.04	-1.19	-1.06	-1.06
